Ime jedi,Cena,Promocijska cena
Toskanska fižolova juha,12.06,11.71
Skutina pita po babičino,12.5242,12.5242
Palačinka iz pečice s pestom in pršutom,9,9
Magično limonino pecivo,6.4983,6.4983
Zimska juha s piščancem,6.60375,6.40125
Brownie s kremnim nadevom in višnjami,12.822,12.822
Krompirjeve ladjice,9,9
Veganske bananine palačinke s kosmiči,5.8744,5.8744
Ledene kocke,13.145,13.145
Mehka svinjska vratovina iz pečice,13.27,13.27
Pražena svinjska jetra s čebulo,5.3725,5.3725
Krostata z rikoto,13.4767,13.4767
Piščanec z bulgurjem in zelenjavo,8.54137,8.19138
Domač čokoladni puding,8.42933,8.42933
Pečena začinjena cvetača z jogurtovo omako,8.5725,8.4
Nadevane piščančje prsi s pršutom,7,7
Ajdova kaša z mlekom,4.435,4.435
Testenine z lečo in korenčkom,8.60875,8.52125
Prekajena rebra s kislim zeljem,8.2625,8.2625
Piščanec z garam masalo in arašidovim maslom,9.279,9.279
Hitra limonina sladica (brez kuhanja in peke),3.4995,3.4995
Topla cvetačna solata,7.745,7.4875
Ajdovo pecivo z marmelado in mascarponejevo kremo,11.7075,11.7075
Kljukuša,11.5147,11.4993
Palmiers piškoti (slonovo uho),3,3
Pečen piščanec v smetanovi omaki s papriko,7.69708,7.22208
Pirine palačinke,6.11,6.11
V pečici pečena svinjina z omako,8.6515,8.6515
Pečena polenta s paradižnikovo omako in mocarelo,5.29667,5.29667
Svinjska pečenka s pisano prilogo iz enega pekača,8.3725,8.3725
Topel kremni namaz s feto in špinačo,7,7
Lečin bolognese,10.735,10.56
Solata iz rdečega zelja z jabolki in orehi,8.92,8.76
Kruhki s pečenim brijem,11.055,11.055
Preprosta zimska enolončnica,9.74225,9.74225
Pečeni šampinjoni s kremnim nadevom,6.15409,5.91591
Rumove lunice (polmeseci),10.057,10.057
Marmorni kolač z limeto,11.3657,11.3657
Piščančje prsi v kremni paradižnikovi omaki,10.48,10.48
Losos s špinačo v listnatem testu,12.02,11.8225
Svinjska pečenka v poprovi omaki z grahovim pirejem,16.7575,16.2125
Mandljevi huzarski krapki z marmelado,7.484,7.484
Špinačne palačinke z rikoto in lososom,8,8
Brstični ohrovt z gorčičnim prelivom,5.5075,5.3575
Cvetačni zrezki z gremolato,8.5225,8.5225
Ovsene rezine z jabolki,7.86625,7.56625
Piškoti s kremnim nadevom,8.265,8.265
Pečen brstični ohrovt s česnom in limono,5,5
Zelenjavna mineštra z jetrnimi cmočki,15.0655,14.8905
Kokosova rolada brez peke,8.3975,8.3975
Snežne kepe z orehi in pomarančo,7.44,7.44
Piščančji fileji s kremno špinačno omako,7.179,7.179
Miklavžev kolač s suhim sadjem,12.1425,12.1425
Piškoti z domačo mandarinino marmelado,8.616,8.616
V pečici pečen losos z brokolijem in čebulo,8.3725,8.3725
Jagnječja obara z žličniki,16.2225,16.1225
Cvetačni polpeti,13.2025,12.8525
Zavitek iz listnatega testa s porom in klobaso,10,10
Pečene marinirane perutničke in ohrovt s krompirjem,11.44,11.44
Kokosova gnezda z limonino kremo,8.35493,8.35493
Bučni buhteljni z marmelado,7.45579,7.45579
Nachos z mletim mesom; fižolom in sirom,9.00333,9.00333
Piščanec z rižem in zelenjavo,8.25638,8.25638
Sardele na šavor,10.0693,10.0693
Rolada s smetano in marmelado,6.553,6.553
Čokoladna babka (čokoladna pletenica),11.895,11.895
Koruzni kruh iz pekača,6.18363,6.18363
Zavite orehove palčke,6.56035,6.56035
Mesne kroglice v beli omaki s kaprami,18.0162,17.6213
Damske kaprice,8.22658,8.22658
Ričet brez mesa,11,11
Krompir alla carbonara,8.52125,8.52125
Bananin kruh z jabolkom (brez sladkorja),6.365,6.0175
Gosta enolončnica iz kislega zelja; krompirja in klobase,7.72958,7.72958
Svinjski zrezki v smetanovi omaki z rožmarinom,6.15437,5.60438
Pečena jabolka s skuto; orehi in rozinami,9.14667,9.12667
Rahle palačinke z rikoto in limono,10.7294,10.7294
Fuži s panceto in tartufato,5.07437,5.07437
Dvobarvni kolač s skuto,13.045,13.045
Kostna juha,18.8105,18.6315
Sladke mumije,11.2829,11.2829
Kremna zelenjavna juha s tortelini,12.7079,12.4746
Nemška makova pita,11.6658,11.6658
Mini marmeladni žepki,9.44,9.44
Testenine z vodko,8.8045,8.8045
Čokoladno-kostanjeva torta brez peke,5.44,5.44
Italijanska pita z vanilijevo kremo in pinjolami,16.375,16.375
Krompirjevi kroketi s sirom,8,8
Gratinirana buča,8.40925,7.88675
Enolončnica iz mletega mesa in krompirja,7.8125,7.8125
Krompirjeve polpete s kislo smetano,6.3725,6.3725
Hrenovke v testu malo drugače,9.0575,9.0575
Bananin kruh z drožmi,8.4028,8.4028
Puhaste jabolčne palačinke,8.4986,8.2411
Piščančje prsi z gobovim nadevom,9.895,9.895
Hitre skutine bombice,6.32375,6.32375
Nočna ovsena kaša z okusom jabolčne pite,10.53,9.99
Pita z rikoto in jabolki,13.0213,12.975
V pečici pečene mesne kroglice s krompirjem,10.3725,10.3725
Testeninske rožice,9,8.9
Pohane marele (dežnikarice po dunajsko),7,7
Narastek z zeljem,10,10
Preprosta sladica iz zdroba in piškotov,8.055,6.335
Piščančja bedra z rižem v pečici,11.1075,11.1075
Lečina mineštra s testeninami,10.845,10.67
Humus iz belega fižola,5.07493,5.07493
Zloženka iz buče; mesne omake in rikote,14.87,14.87
Rafaelo kocke brez peke,7.457,7.2595
Sočna čokoladna torta brez moke,9.0166,9.0166
Prosena kaša z grškim jogurtom in karameliziranimi jabolki,10.4587,10.1587
Ajdovo pecivo z lešniki; cimetom in sadjem,9.26875,9.26875
Pečeno mleto meso s česnovo bageto,11.3688,11.3688
Slivova marmelada,5,5
Hitri chili z mletim mesom,10.4675,10.295
Sočno čokoladno pecivo z marmelado,9.20937,9.20937
Domači njoki z omako iz svežega paradižnika,11.4815,11.4815
Rižota z ječmenom in govedino,12.3725,12.3725
Čokoladno-skutino pecivo z višnjami,9.018,9.018
Zelenjavna zloženka s sirom,9,9
Pita z mandljevo kremo in slivami,12.562,12.562
Svinjski zrezki v hrustljavi parmezanovi skorjici,7,6.9
Bučkine rolice z bulgurjem in mesom,10.662,10.662
Karameliziran carski praženec (šmorn),6.18125,6.18125
Zapečeni njoki s piščancem; gobami in smetano,11.1939,11.1939
Polnjene polovičke paprik v omaki,12.3725,12.3725
Torta tenerina,6.22375,6.115
Hitra paradižnikova pita z listnatim testom,10,10
Piščanec in krompir iz ene ponve,9.3975,9.2475
Vložene paprike za ozimnico,3.9273,3.9073
Zapečen krompir z bučkami,9,8.35
Kolač s slivami in beljakovim pokrovom,14.52,14.52
Hitre testenine iz ene ponve,7.53167,7.409
Slivovi cmoki iz skutnega testa,8,8
Listnati trikotniki s špinačo in feto,10.3725,10.2725
Kolač z limonino kremo in sadjem,12.333,12.333
Turška umešana jajca z zelenjavo (menemen),7.745,7.745
Bučkini ocvrtki s feto,9.745,9.745
Jutranji breskov drobljenec (crumble),9.35333,9.09
Slivovo pecivo s skuto in zdrobom,10.2225,10.025
Boranja z govedino in krompirjem,8.3725,8.3725
Žarbo kocke,11.7092,11.7092
Etonska zmešnjava z malinami,4.31855,4.31855
Kuhan stročji fižol in krompir v paradižnikovi omaki,6.52235,6.52235
Sardele s solato iz kumar in avokada,11.4925,11.4925
Limonin mousse,6.219,6.219
Njoki z domačim pestom,7.01785,7.01785
Obrnjena rolada z ribezom in kislo smetano,8.585,8.585
Sočno pecivo s kokosom,8.62375,8.62375
Svinjski zrezki z omako pizzaiola,7,6.9
Juha iz stročjega fižola,7.89563,7.89563
Pečeni jajčevci s paradižnikom in sirom,8,8
Bananine kocke,16.1838,16.1838
Listnata pita z mocarelo; jajci in češnjevci,9.9625,9.9625
Fit solata s piščancem in kvinojo,9.2225,9.2225
Bučkin narastek s kruhom,10,9.9
Flambirane marelice z mascarpone sirom in sladoledom,10.44,10.44
Skutine rezine z malinami (brez peke),10.4554,9.79706
Quesadilla (prepognjena tortilja) z zelenjavo in sirom,8.5225,8.45
Piščančji fileji s češnjevimi paradižniki in parmezanom,8,8
Piña colada kocke brez peke,8.17212,8.17212
Hitro pecivo s kislo smetano in borovnicami,10.2683,10.2683
Kremna kumarčina juha s krompirjem,10.04,10.04
Sadne sladoledne lučke,3.38528,3.37424
Telečji zrezki z bučkami; paradižnikom in mocarelo,8.6225,8.4225
Koruzna zlivanka z bučkami in korenčkom,13.2032,13.2032
Vanilijeva panakota z marelično kremo,8.68262,8.47138
Hrustljav krompir in mesne kroglice iz pečice,11.1862,11.1862
Klafuti (clafoutis) z marelicami,8.54903,8.54903
Zamrznjene jogurtove ovsene rezine,7.01975,7.01975
Piščanec s krompirjem in paradižniki v pekaču,13.9337,13.9337
Smetanov sladoled z Nutello (brez strojčka),3,3
Hitra solata tabule s kuskusom,8.85125,8.85125
Zarezan piščančji file z zelenjavo in sirom,10.7925,10.6175
Tunin tatar s peno iz limete in rožmarina; zeliščna polenta; ocvrte sardele,12.44,12.44
Svinjska potrebuševina; koruzni žganci; jabolko; zelena,12.8367,12.2767
Pečene račje prsi; ganaš iz gosjih jeter; glazirana hobotnica; krompirjev savarin; omaka z višnjami,24.456,24.2393
Popečena grdobina; majoneza iz avokada in bazilike; krompir iz fonda; flambirane fige; česnova čipka,21.9292,21.8125
Hrustljave bučkine palčke,10.185,9.835
Ledene kocke z gozdnimi sadeži,12.7962,12.5987
Blitvina kremna juha s krompirjem,6.50692,6.50692
Kremna prosena kaša s čokolado in oreščki,7.2325,6.8325
Čokoladni kolač z banano,7.23481,7.23481
Češnjeva galeta,10.9987,10.9987
Tiramisu s kremo brez jajc,6.93,6.93
Jagode in piškoti z mascarpone kremo v kozarcu,7.44,7.44
Piščančji golaž s kumaricami,8.652,8.102
Sladki krompir s pečenimi jajci,4.158,4.158
Hitro skutino pecivo z zdrobom in malinami,8.598,8.598
Račje prsi in grahov crème brulee,20.1873,20.1873
Hobotnica s pirejem iz krompirja in kaper; žele iz limete in rožmarina,17.814,17.639
Osličevi fileji na pariški način,6,6
Riž z zelenjavo in piščancem,10.9494,10.7694
Slani mafini z bučko in feto,7.38067,7.12317
Hitro pecivo s češnjami,6.88658,6.88658
Torta z bučnim oljem in limetinim želejem,17.2334,17.0359
Sirup iz vrtnic in melise,4.32867,4.28867
Browniji s češnjami,8,8
Svinjska rolada s špinačo; feto in sušenimi paradižniki,12.745,12.745
Marinirani lignji s krompirjem v pečici,15.2498,15.2498
Jogurtovo pecivo z malinami,6.98667,6.98667
Jutranji jajčni mafini,4.45708,4.45708
Gratiniran mlad krompir s šparglji,8.3725,8.3725
Wellington pečenka s pirejem in vinska omaka s hruško,17.4725,17.4725
Sladoled iz dveh sestavin,3,3
Pečen krompir z zeliščnim maslom,6,6
Hrustljave palčke s sirom,5,5
Postrv s pečenim krompirjem in paradižnikom iz pečice,6,6
Krostata z vanilijevo kremo in marmelado,10.49,10.3963
Pečen piščanec z brokolijem in sirom,6.94515,6.59515
Čokoladna torta z jagodami,7.24687,7.24687
Blejska grmada,18.4937,18.4937
Peresniki z lososom; šparglji in smetano,9.08925,9.08925
Svinjski zrezki po cigansko,8.2625,8.2625
Pečena ovsena kaša s sadjem; čokolado in orehi,12.3983,12.3983
Dvobarvna čokoladna sladica v kozarcu (brez peke),9.1114,9.1114
Grška nagubana pita s špinačo (Patsavouropita),8.895,8.895
Kolač z rabarbaro in jagodami,12.893,12.893
Pecivo z jagodno kremo in svežimi jagodami,10.232,10.232
Pečen sladki krompir z namazom iz fete iz špinače,7.44,7.44
V pečici pečeni kaneloni s šunko in sirom,12,12
Jogurtova strjenka z borovničevim želejem,7.09125,6.795
Čokoladna rolada s smetano in jagodami,6.67469,6.57469
Pudingove jagodne rezine,6.25938,6.05938
Ajdova kaša s piščancem in gobami,11.2625,11.2625
Pečeno puranje stegno,10.0765,10.0765
Kokosove kroglice iz samo dveh sestavin (rafaelo kroglice),4,4
Pečen kostni mozeg s kislo repo in zeliščnimi kruhki,10.55,10.55
Malinovo-jogurtova strjenka v kozarcu,9.15635,9.15635
Goveje bržole Esterhazy (bržolni zrezki po madžarsko),9.3618,9.3618
Zebra torta brez peke (jagodna torta z belo čokolado),9.0005,8.53967
Hrustljava pita s sirom,9.1425,9.1425
Špageti carbonara s smetano,7.0714,7.0714
Svinjski medaljoni v hrenovi omaki,7.3725,7.3725
Zapečena nadevana jajca,8,8
Polnjena velikonočna jajčka,7.3725,7.3725
Velikonočna pinca,11.1467,11.1467
Svinjski zrezki z mladim krompirjem iz pečice,9.85625,9.85625
Velikonočni kolač s čokoladnim zajčkom,12.0702,12.0702
Rolada s čokoladnim ganašem in pasijonkinim želejem,6.0775,5.78125
Pečeni šparglji s šunko in sirom,5,5
Čemažev pesto,5.0999,5.0999
Piščančje prsi s slanino iz pečice,4,4
Skutina torta z jagodami,7.72375,7.72375
Pečeni kruhki s sirom in tuninim namazom,9.2625,9.1625
Losos v omaki s kaprami,11.0837,11.0837
Paris Brest z vanilijevo kremo in jagodami,13.0092,12.9093
Piškoti z jagodami,7.0429,7.00665
Pečena jajca s sirom in gobicami,5,5
Čokoladna rolada z marmelado in smetano,5.0595,5.0595
Polnozrnate testenine s pečenim paradižnikom; mascarponejem in špinačo,11.185,11.185
Piščanec v smetanovi omaki s parmezanom in špinačo,11.1384,11.1039
Hitro čokoladno pecivo s skuto,9.32583,9.32583
Piščančja bedra z mladim krompirjem iz pečice,10.3725,10.3725
Govedina po toskansko s kremasto polento,9.27,9.27
Nemška skutina torta,8.52167,7.66167
Kalabrijska orehova torta,4.44,4.44
Ajdova rižota z zelenjavo; gobami in panceto,10.3725,10.3725
Lignji v omaki z olivami in polenta z začimbami,15.9788,15.7925
Hitro pecivo z zdrobom in jabolki,10.8419,10.5419
Polnozrnati špageti s kozicami in brokolijem,9.9475,9.9475
Palačinke z limonino kremo,11.11,11.11
Jagodna krostata z meringo,13.305,13.305
Zapečen krompir in cvetača z gorgonzolo,7.44687,7.34687
Kokosov mlečni riž z mangom,4.72562,4.72562
Zelenjavne polpete s kosmiči,12.2456,12.2456
Piščanec po špansko z belim fižolom,9.84417,9.84417
Hitri skutini njoki,6,5.9
Avokadov namaz,5,5
Limonine rezine z maskarponejem,9.13687,8.73687
Krompir z brstičnim ohrovtom in slanino,7.70313,7.70313
Piščanec v smetanovi omaki s papriko,5.88312,5.88312
Čokoladno-jogurtovo pecivo brez jajc,6.16737,6.16737
Soba rezanci z lososom,6,6
Njoki s špinačo; brokolijem in pršutom v sirovi omaki,8.04462,8.04462
Mandljeva rolada s kislo smetano in marmelado,6.19725,6.19725
Čokoladne palačinke s smetano in višnjami,8.77375,8.77375
Lovke orjaškega lignja s krompirjem iz pečice,6.745,6.745
Rižota s piščancem in brokolijem,9.46625,9.37625
Bougatsa,8.495,8.495
Zelenjavna enolončnica z ohrovtom,9.36,9.36
Paradižnikova juha s špinačo in sirovimi tortelini,11.0175,11.0175
Mandljevi blondinčki s koščki čokolade,6.57,6.57
Lazanja z mletim mesom in orehi,14.2483,14.1483
Pečena jabolka s skuto in rozinami,6.4025,6.32
Kokosova prosena kaša s sadjem in semeni,6.4475,6.4375
Rižev narastek z rozinami; pomarančo in cimetom,11.4388,11.4388
Bananin kolaček v skodelici,6.935,6.935
Testenine z lignji v pikantni paradižnikovi omaki,11,11
Čokoladni kolač z mandlji in klementinami,12.4767,12.3767
Ohrovt z gobami in polento na fižolovem pireju,11,11
Mečkanka ali gužvara (pita s sirom),9,9
Toast s pečenim jajcem in sirom,4,4
Cvetačna kremna juha,7.02975,6.47975
Bombardino,3.4301,3.4301
Trganci s kislo smetano in slanino,6,6
Svinjski kotleti s kislim zeljem in jabolkom,7.1675,6.8675
Zelenjavna juha s piščančjimi cmočki,11.1545,10.8045
Sladica s penino v kozarcu,5.76925,5.76925
Polžki iz listnatega testa z lososom; špinačo in sirom,8.49,8.49
Beljakova rolada z mascarponejem; belo čokolado in malinami,8.33988,7.94113
Porketa (italijanska svinjska rolada),10.9688,10.6725
Zimska enolončnica s šitakami,6.32,6.32
Gratinirana zimska zelenjava,10.6267,9.79833
Svinjski zrezki v omaki s slanino in gobami,7.9907,7.9907
Kruhov venec z masleno česnovo polivko,9.2824,9.2584
Pudingove rezine z limoninim prelivom,7.72917,7.72917
Flank steak z gorčično omako,7.1842,6.6342
Kuhano belo vino,5.2475,5.225
Pomarančna torta z medeno čokoladno glazuro,6.84875,6.84875
Cimetove rolice na hitro,6.395,6.395
Narastek iz kislega zelja; slanine in krompirja,6.872,6.872
Krhki piškoti z vzorcem,5,5
S čokolado polnjeni masleni piškoti,7.532,7.532
Lečni kari (curry) s kokosovim mlekom,9.154,9.0415
Orehovo-pomarančne rezine,11.1212,11.1212
Sočen kokosov kolač z limono,10.913,10.913
Porova juha s topljenim sirom in mletim mesom,8.51,8.51
Fižolova mineštra,11.3725,10.7925
Enchilada s piščancem in fižolom,7.4305,7.118
Pečen losos s špinačnim nadevom,8.29875,8.27375
Ješprenjčkova enolončnica s čičeriko in fižolom,12.236,12.236
Kokosova čokoladna potica,13.4995,13.4995
Čokoladna pita z jabolki in pudingom,15.9131,15.9131
Panakota s kakijevim pirejem,5.3985,5.3985
Čokoladne kroglice s pomarančo,6.1825,6.14625
Pečena (nočna) ovsena kaša s suhim sadjem,5.51806,5.33056
Praženo zelje s klobaso,9.995,9.995
Lečna mineštra s kokosovim jogurtom,14.065,13.5775
Rogljički s skuto in šunko,12.1469,12.1469
Kvašene jabolčne rožice,11.5262,11.5262
Chili con carne s pivom in čokolado,19.1275,19.105
Preprost jabolčni kolač,8.79833,8.78833
Ajdovi štruklji z orehi,9.11062,9.11062
Juha s pečeno hokaido bučo,5.0125,4.94
Čokoladno-lešnikova smoothie skleda,10.84,10.84
Lečna juha z zelenjavo in začimbami,12.6925,12.585
Svinjski zrezki s kislim zeljem iz pečice,8.6066,8.6066
Zloženka s kislim zeljem; slanino in smetano,10.2483,10.2483
Telečji zrezki v gobovi omaki,8.07625,8.07625
Skutini zdrobovi cmoki s sadno omako,10.88,10.88
Pesin kolač z jagodami,7.815,7.815
Pistacijevi piškoti,5.44,5.44
Čokoladno-kostanjevo pecivo brez moke,7.495,7.495
Polnozrnati špageti z mesnimi kroglicami v omaki,10.845,10.67
Karamelni jabolčni cheesecake v kozarcu,10.9369,10.5369
Osso buco v omaki,10.7484,10.7484
Čokoladna torta s švicarsko masleno kremo in lešnikovim krokantom,13.6088,13.6088
Kremna juha iz kodrolistnega ohrovta in krompirja,8.9305,8.8305
Zdrave bučne palačinke brez moke in mleka,6.4925,6.4925
Curry z rdečo lečo in sladkim krompirjem,16.1735,15.976
Veganski čokoladni bananov kruh,8.5225,8.5225
Tortiljin zvitek z jajci; šunko in kislo smetano,8,8
Juha za imunski sistem,9.84825,9.38325
Pecivo s kosmiči; kokosom; brusnicami in čokolado,9.1935,9.1935
Cvetačni zrezki s hrustljavo parmezanovo skorjico,8,8
Krompirjev langaš,7.055,7.055
Juha iz pečene buče s smetano,4.00737,3.92028
Romunska mesna obara (tochitura),8.155,8.155
Čokoladni šarkelj,7.46375,7.46375
Prosena kaša s piščancem in gobami iz enega lonca,10.3725,10.3725
Brokolijeve polpete s čičeriko,8,8
Špageti s tuno; kaprami in olivami,9,8.9
Golaž iz piščančjih želodcev s korenčkom in grahom,11.185,11.185
Kiš (slana pita) z riževo osnovo,7.63167,7.63167
Ajdova torta z marmelado,8.353,8.353
Tortelini s smetano in šunko,7.21387,6.89762
Brokolijev narastek,8.1425,8.1425
Nočna ovsena kaša s figami; brusnicami in orehi,8.715,8.715
Zapečene testenine z mletim mesom in zelenjavo,12.995,12.895
Hruškov ponvičnik,8.48728,8.48728
Narastek iz ajdove kaše s skuto in gobicami,10,10
Rižota z bučo in ječmenom,8.14767,8.14767
Krompirjeve polpetke s šunko,7.64833,7.64833
Krhka torta s kislo smetano,12.0733,12.0733
Kruhov narastek s skuto,9.11,9.11
S kvinojo in orehi polnjene pečene paprike,9.69813,9.52313
Slivove rezine z drobljencem,10.3075,10.3075
Ajdova kaša z dušenimi jabolki in cimetom,7,6.99
Čičerikin ragu s polento,12.605,12.605
Pečena paprika z jajcem,6,6
Narobe obrnjen figov kolač,13.0062,13.0062
Zapečene palačinke z gobami in skuto,19.1863,19.0862
Krompirjeva solata z jogurtom in gorčico,7,6.99
Pečene testenine z gobami in šunko,9.745,9.745
Sadni tiramisu v posodici,6.0745,5.2145
Losos iz pečice z maslom; peteršiljem in česnom,6,6
Ajdov krapec,6.48463,6.48463
Testenine iz enega lonca,8.49,8.49
Osvežilna jogurtova torta z mareličnim moussom (brez peke),14.9589,14.7423
Enostavno jogurtovo pecivo s sadjem,6.96833,6.96833
Sipana ajdova pita z jabolki,8.5825,8.5825
Paradižnikova rižota s pestom in pečenimi češnjevimi paradižniki,16.9305,16.9305
Narastek s stročjim fižolom,6,6
Toast rolice z lešnikovim namazom in cimetom,6.22,6.22
Pita z mandljevo kremo in marelicami,13.095,13.095
Zebra cheesecake (brez kuhanja in peke),7.21125,7.21125
Piščančje enčilade,6.92667,6.92667
Zdrobovo pecivo s hruškami,8.61969,8.61969
Kinder pingvin rezine,13.1237,13.1237
Finska palačinka (Pannukakku),6.19,6.19
Pecivo jajce na oko,7.90862,7.89712
Bučkine palačinke s paradižnikom in mocarelo,9,8.9
Creme brulee z limono,4.559,4.559
Jogurtovo pecivo z borovnicami,6.9782,6.8912
Kumare v smetanovi omaki,6.472,6.472
'Taco' solata,13.685,13.685
Topla bučkina solata,8,8
Skutino pecivo z breskvami,16.0367,16.0367
Solata iz bulgurja; zelenjave in tune,7.445,7.445
Galeta z marelicami in mandlji,8.41903,8.32028
Ingverjeva limonada z meto,5.44,5.44
Arašidove energijske kroglice,8,8
V papirnatem ovoju pečen losos z zelenjavo,5.47,5.3975
Fritata z blitvo,6.3725,6.3725
Testeninska solata s tuno in zelenjavo,10.1199,10.1199
Gibanica gužvara z bučkami,11,11
Hitra sladica iz piškotov in čokoladnega pudinga,6,6
Solata s pečeno cvetačo in rjavo lečo,15,15
Breskov drobljenec,9.055,9.055
Bučkini špageti s pestom in češnjevimi paradižniki,8.07238,8.07238
Hladna kumarična juha z jogurtom,7.49437,7.49437
Francoska maslena krema,4.799,4.799
Carski praženec; jajčni sladoled in sadna omaka,13.9887,13.9887
Mini bučkini polpeti s sirom,5.5225,5.45
Češnjeva pita iz pekača,10.5242,10.5242
Začinjene paradižnikove testenine s čičeriko,10.079,10.079
Mousse iz čokolade z vrtnico; sorbet iz malin z vrtnico; metin žele; makron z malino; sponge cake in ruby čokolada,25.43,25.43
Srnin hrbet z zeliščnim čajem; raviol s kostanjevo kremo in prepeličjim rumenjakom; pire rdeče pese; hruška v rdečem vinu,19.2125,18.8425
Mousse krvavice; popečena polenta ajdovih žgancev; žele kozje skute; okisano zelje in ajdove kokice,12.6883,12.475
Ameriške palačinke z vanilijevo omako in jagodičevjem,10.9157,10.9157
Jagnječje kronce s tartufovo skorjico in vanilijev pire krompir,15.6933,15.2067
Grški jogurt z marelicami,7.495,7.45
Testenine z avokadovim pestom,10.0837,10.0837
Češnjeve lučke,3,3
Testenine s šparglji in limono,9,9
Srnin hrbet z višnjevo omako; kipnik iz indijskih oreščkov in pire sladkega krompirja,13.66,13.56
Gyoza cmočki iz goveje juhe,11.0531,11.0531
Beljakova rolada z mascarponejevo kremo in sadjem,9.931,9.931
Kuskus z rakci; paradižnikom in papriko,10.3238,10.3238
Lignji v paradižnikovi omaki,10,10
Tortelini v družbi poširanega jajca in kozic,11,11
Dagnje na buzaro in trtini zvitki z limonino polento,12.389,12.389
Testenine s polži in češnjevimi paradižniki,8,8
Brancin; špinačni ravioli s škampi; pinjolin pire in limonin sorbet,22.0188,22.0188
Hitro skutino pecivo z malinami in mandlji (pecivo za požrešne sosede),10.8068,9.84806
Ajdove palačinke s piščancem; fižolom in papriko,13.8087,13.8087
Chia puding s češnjevim kompotom,6.56375,6.56375
Pečeni bučkini zvitki z zeliščno skuto v paradižnikovi omaki,11,11
Čokoladni piškoti s kosmiči in arašidovim maslom,7.99875,7.99875
Svinjska lička z gelom kefirja; konfitiran krompir in ribezova omaka s črnim poprom,12.44,12.44
Trgana svinjska lička; hruška; hren in ocvrto rezančevo testo,15.6945,15.6945
Široki rezanci z natrgano govedino,10.8458,10.6708
Pečene piščančje kroglice s špageti s pestom,11.5225,11.5225
Žarjen brancin in zdrava kvinojca,16.0295,15.6595
Torta ledeni veter,14.1035,14.1035
Veganski curry s čičeriko in sladkim krompirjem,12.019,12.019
Limonin kolač z bezgovim sirupom,10.1924,10.1924
Čičerika s klobaso in papriko,9.13,9.13
Preprosto češnjevo pecivo,6.6375,6.6375
Jagnječja zarebrnica v vinski omaki; kremna polenta; bučkin pire z limeto,27.995,27.995
Ješprenj z dimljenim svinjskim vratom; pire iz zelene in krompirja; fižolova krema,28.4782,28.2882
Sladica B-52,17.44,17.44
Pečena Aljaska s pomarančo; granatnim jabolkom; brusico in vodko,20.9665,20.8165
Poširana meringa z limonino kremo; flambiran ananas; kokosova granita; hrustek iz ananasovega soka in ruma,17.44,17.44
Pita s pudingovo kremo in jagodami,12.4075,12.4075
Fritata s šparglji; feto in češnjevimi paradižniki,8.49667,8.49667
Biskvitna tortica s kolerabinim džemom in kolerabino panna cotto,10.468,10.468
Sardonovi zvitki s sotiranim koromačem in okisanimi kumaricami,9.6625,9.6625
